Id	CountyName	StateName	Population	LandArea
5049	Fulton County	 Arkansas	12301	620.36	
5051	Garland County	 Arkansas	96249	734.61	
5053	Grant County	 Arkansas	17852	633.06	
5055	Greene County	 Arkansas	42224	579.69	
5057	Hempstead County	 Arkansas	22548	741.42	
5059	Hot Spring County	 Arkansas	33011	622.2	
5061	Howard County	 Arkansas	13790	595.24	
5063	Independence County	 Arkansas	36572	771.64	
5065	Izard County	 Arkansas	13614	584.07	
5067	Jackson County	 Arkansas	17885	641.5	
5069	Jefferson County	 Arkansas	76836	913.75	
5071	Johnson County	 Arkansas	25554	682.78	
5073	Lafayette County	 Arkansas	7618	545.11	
5075	Lawrence County	 Arkansas	17314	592.39	
5077	Lee County	 Arkansas	10430	619.5	
5079	Lincoln County	 Arkansas	14167	572.21	
5081	Little River County	 Arkansas	13068	564.9	
5083	Logan County	 Arkansas	22352	731.55	
5085	Lonoke County	 Arkansas	68274	802.48	
5087	Madison County	 Arkansas	15674	837.13	
5089	Marion County	 Arkansas	16712	640.38	
5091	Miller County	 Arkansas	43449	637.53	
5093	Mississippi County	 Arkansas	46388	919.8	
5095	Monroe County	 Arkansas	8145	621.46	
5097	Montgomery County	 Arkansas	9453	800.34	
5099	Nevada County	 Arkansas	9003	620.83	
5101	Newton County	 Arkansas	8286	823.24	
5103	Ouachita County	 Arkansas	25894	739.7	
5105	Perry County	 Arkansas	10413	560.51	
5107	Phillips County	 Arkansas	21646	727.34	
5109	Pike County	 Arkansas	11261	613.93	
5111	Poinsett County	 Arkansas	24506	763.44	
5113	Polk County	 Arkansas	20535	862.47	
5115	Pope County	 Arkansas	61853	830.84	
5117	Prairie County	 Arkansas	8659	675.81	
5119	Pulaski County	 Arkansas	383185	807.91	
5121	Randolph County	 Arkansas	17992	656.08	
5123	St. Francis County	 Arkansas	28089	642.44	
5125	Saline County	 Arkansas	107498	730.5	
5127	Scott County	 Arkansas	11170	898.15	
5129	Searcy County	 Arkansas	8146	668.56	
5131	Sebastian County	 Arkansas	125795	546.07	
5133	Sevier County	 Arkansas	16978	581.38	
5135	Sharp County	 Arkansas	17278	606.39	
5137	Stone County	 Arkansas	12480	609.47	
5139	Union County	 Arkansas	41594	1055.36	
5141	Van Buren County	 Arkansas	17223	724.36	
5143	Washington County	 Arkansas	204057	956.07	
5145	White County	 Arkansas	77007	1042.43	
5147	Woodruff County	 Arkansas	7262	594.09	
5149	Yell County	 Arkansas	22033	948.89	
6001	Alameda County	 California	1515136	821.26	
6003	Alpine County	 California	1197	743.23	
6005	Amador County	 California	37764	604.26	
6007	Butte County	 California	220101	1677.22	
6009	Calaveras County	 California	45507	1036.92	
6011	Colusa County	 California	21329	1156.32	
6013	Contra Costa County	 California	1052047	802.18	
6015	Del Norte County	 California	28496	1229.84	
6017	El Dorado County	 California	180441	1791.29	
6019	Fresno County	 California	930517	6017.89	
6021	Glenn County	 California	28078	1327.25	
6023	Humboldt County	 California	134317	4052.52	
6025	Imperial County	 California	173487	4482.08	
6027	Inyo County	 California	18474	10227.75	
6029	Kern County	 California	839153	8162.03	
6031	Kings County	 California	151982	1391.58	
6033	Lake County	 California	64360	1329.59	
6035	Lassen County	 California	34628	4720.61	
6037	Los Angeles County	 California	9840024	4752.32	
6039	Madera County	 California	150615	2153.39	
6041	Marin County	 California	252759	828.22	
6043	Mariposa County	 California	18193	1462.89	
6045	Mendocino County	 California	87577	3878.5	
6047	Merced County	 California	256398	1972.02	
6049	Modoc County	 California	9545	4203.62	
6051	Mono County	 California	14181	3131.89	
6053	Monterey County	 California	416199	3771.11	
6055	Napa County	 California	136644	788.34	
6057	Nevada County	 California	98521	974.54	
6059	Orange County	 California	3021840	947.91	
6061	Placer County	 California	350074	1500.24	
6063	Plumas County	 California	19926	2613.75	
6065	Riverside County	 California	2192982	7303.81	
6067	Sacramento County	 California	1422348	995.65	
6069	San Benito County	 California	55467	1390.81	
6071	San Bernardino County	 California	2041029	20106.39	
6073	San Diego County	 California	3100500	4525.92	
6075	San Francisco County	 California	807755	231.89	
6077	San Joaquin County	 California	687036	1426.37	
6079	San Luis Obispo County	 California	270121	3615.73	
6081	San Mateo County	 California	721183	741.07	
6083	Santa Barbara County	 California	423594	3789.56	
6085	Santa Clara County	 California	1788393	1304.53	
6087	Santa Cruz County	 California	262340	607.72	
6089	Shasta County	 California	177693	3847.61	
6091	Sierra County	 California	3163	962.03	
6093	Siskiyou County	 California	44673	6347.81	
6095	Solano County	 California	414209	906.85	
6097	Sonoma County	 California	483456	1768.35	
6099	Stanislaus County	 California	515115	1514.8	
6101	Sutter County	 California	94615	608.86	
6103	Tehama County	 California	63200	2962.3	
6105	Trinity County	 California	13693	3207.79	
6107	Tulare County	 California	441877	4839.41	
6109	Tuolumne County	 California	55205	2274.52	
6111	Ventura County	 California	822794	2208.36	
6113	Yolo County	 California	200873	1022.87	
6115	Yuba County	 California	72244	643.55	
8001	Adams County	 Colorado	442996	1197.83	
8003	Alamosa County	 Colorado	15750	723.59	
8005	Arapahoe County	 Colorado	574357	805.47	
8007	Archuleta County	 Colorado	12109	1354.65	
8009	Baca County	 Colorado	3783	2557.24	
8011	Bent County	 Colorado	6192	1541.25	
8013	Boulder County	 Colorado	297218	751.4	
8014	Broomfield County	 Colorado	55913	0	
8015	Chaffee County	 Colorado	17879	1015.07	
8017	Cheyenne County	 Colorado	2095	1781.5	
8019	Clear Creek County	 Colorado	9059	396.47	
8021	Conejos County	 Colorado	8241	1290.99	
8023	Costilla County	 Colorado	3556	1230.55	
8025	Crowley County	 Colorado	5747	800.38	
8027	Custer County	 Colorado	4208	739.95	
8029	Delta County	 Colorado	30710	1148.61	
8031	Denver County	 Colorado	604356	154.88	
8033	Dolores County	 Colorado	1806	1068.14	
8035	Douglas County	 Colorado	286883	842.81	
8037	Eagle County	 Colorado	51850	1691.89	
8039	Elbert County	 Colorado	23058	1851.01	
8041	El Paso County	 Colorado	622816	2129.71	
8043	Fremont County	 Colorado	47006	1534.06	
8045	Garfield County	 Colorado	56330	2956.08	
8047	Gilpin County	 Colorado	5358	150.26	
8049	Grand County	 Colorado	14608	1869.7	
8051	Gunnison County	 Colorado	15385	3259.94	
8053	Hinsdale County	 Colorado	790	1123.22	
8055	Huerfano County	 Colorado	6730	1593.36	
8057	Jackson County	 Colorado	1397	1621.05	
8059	Jefferson County	 Colorado	536095	778.2	
8061	Kiowa County	 Colorado	1393	1785.87	
8063	Kit Carson County	 Colorado	8210	2161.71	
8065	Lake County	 Colorado	7372	383.93	
8067	La Plata County	 Colorado	51443	1700.03	
8069	Larimer County	 Colorado	300870	2634	
8071	Las Animas County	 Colorado	15385	4775.74	
8073	Lincoln County	 Colorado	5443	2586.56	
8075	Logan County	 Colorado	22541	1844.96	
8077	Mesa County	 Colorado	146562	3341.28	
8079	Mineral County	 Colorado	702	877.82	
8081	Moffat County	 Colorado	13547	4751.21	
8083	Montezuma County	 Colorado	25424	2040.08	
8085	Montrose County	 Colorado	40994	2242.71	
8087	Morgan County	 Colorado	28200	1293.97	
8089	Otero County	 Colorado	18791	1269.81	
8091	Ouray County	 Colorado	4445	542.26	
8093	Park County	 Colorado	16168	2210.82	
8095	Phillips County	 Colorado	4380	687.78	
8097	Pitkin County	 Colorado	17000	973.28	
8099	Prowers County	 Colorado	12539	1644.46	
8101	Pueblo County	 Colorado	159072	2397.86	
8103	Rio Blanco County	 Colorado	6728	3223.1	
8105	Rio Grande County	 Colorado	11925	913.13	
8107	Routt County	 Colorado	23385	2368.19	
8109	Saguache County	 Colorado	6189	3170.46	
8111	San Juan County	 Colorado	747	388.31	
8113	San Miguel County	 Colorado	7432	1288.54	
8115	Sedgwick County	 Colorado	2389	549.64	
8117	Summit County	 Colorado	27753	619.29	
8119	Teller County	 Colorado	23163	558.99	
8121	Washington County	 Colorado	4796	2524.29	
8123	Weld County	 Colorado	253552	4021.76	
8125	Yuma County	 Colorado	10032	2369.22	
9001	Fairfield County	 Connecticut	918892	837.01	
9003	Hartford County	 Connecticut	893504	750.61	
9005	Litchfield County	 Connecticut	189277	944.63	
9007	Middlesex County	 Connecticut	165639	439.07	
9009	New Haven County	 Connecticut	860995	862.06	
9011	New London County	 Connecticut	273723	771.71	
9013	Tolland County	 Connecticut	152137	417.03	
9015	Windham County	 Connecticut	118046	521.51	
10001	Kent County	 Delaware	162785	800.14	
10003	New Castle County	 Delaware	539665	493.53	
10005	Sussex County	 Delaware	197681	1195.7	
11001	District of Columbia	 District of Columbia	605759	68.36	
12001	Alachua County	 Florida	247973	969.18	
12003	Baker County	 Florida	27010	588.92	
12005	Bay County	 Florida	168957	1033.35	
12007	Bradford County	 Florida	28404	300.06	
12009	Brevard County	 Florida	544019	1557.25	
12011	Broward County	 Florida	1761993	1319.74	
12013	Calhoun County	 Florida	14639	574.38	
12015	Charlotte County	 Florida	160380	859.28	
12017	Citrus County	 Florida	140805	773.24	
12019	Clay County	 Florida	190891	643.73	
12021	Collier County	 Florida	323548	2305.09	
12023	Columbia County	 Florida	67546	801.12	
12027	DeSoto County	 Florida	34628	639.55	
12029	Dixie County	 Florida	16301	863.71	
12031	Duval County	 Florida	866431	918.28	
12033	Escambia County	 Florida	298864	893.94	
12035	Flagler County	 Florida	95987	570.79	
12037	Franklin County	 Florida	11545	1026.45	
12039	Gadsden County	 Florida	46823	528.51	
12041	Gilchrist County	 Florida	16880	355.49	
12043	Glades County	 Florida	12952	986.19	
12045	Gulf County	 Florida	15796	755.78	
12047	Hamilton County	 Florida	14728	519.35	
12049	Hardee County	 Florida	27347	638.38	
12051	Hendry County	 Florida	38669	1189.89	
12053	Hernando County	 Florida	172784	589.12	
12055	Highlands County	 Florida	98734	1106.36	
12057	Hillsborough County	 Florida	1238365	1266.36	
12059	Holmes County	 Florida	19971	488.75	
12061	Indian River County	 Florida	138203	616.97	
12063	Jackson County	 Florida	49589	954.67	
12065	Jefferson County	 Florida	14564	636.68	
12067	Lafayette County	 Florida	8668	547.96	
12069	Lake County	 Florida	297995	1156.51	
12071	Lee County	 Florida	624155	1212	
12073	Leon County	 Florida	276506	701.83	
12075	Levy County	 Florida	40541	1412.41	
12077	Liberty County	 Florida	8300	843.22	
12079	Madison County	 Florida	19187	715.89	
12081	Manatee County	 Florida	324834	892.84	
12083	Marion County	 Florida	331987	1663.1	
12085	Martin County	 Florida	146497	752.86	
12086	Miami-Dade County	 Florida	2512219	2429.59	
12087	Monroe County	 Florida	73475	3737.42	
12089	Nassau County	 Florida	73303	725.9	
12091	Okaloosa County	 Florida	183400	1082.09	
12093	Okeechobee County	 Florida	39779	891.98	
12095	Orange County	 Florida	1153795	1004.31	
12097	Osceola County	 Florida	272355	1506.49	
12099	Palm Beach County	 Florida	1324085	2386.53	
12101	Pasco County	 Florida	465276	868.02	
12103	Pinellas County	 Florida	917389	607.75	
12105	Polk County	 Florida	604562	2010.19	
12107	Putnam County	 Florida	74224	827.22	
12109	St. Johns County	 Florida	191495	821.47	
12111	St. Lucie County	 Florida	278246	688.13	
12113	Santa Rosa County	 Florida	153086	1155.31	
12115	Sarasota County	 Florida	380479	725.27	
12117	Seminole County	 Florida	423389	344.9	
12119	Sumter County	 Florida	94240	580.35	
12121	Suwannee County	 Florida	42287	691.94	
12123	Taylor County	 Florida	22561	1232.05	
12125	Union County	 Florida	15400	249.72	
12127	Volusia County	 Florida	495581	1432.51	
12129	Wakulla County	 Florida	30449	735.78	
12131	Walton County	 Florida	55349	1238.13	
12133	Washington County	 Florida	24732	615.84	
13001	Appling County	 Georgia	18279	512.15	
13003	Atkinson County	 Georgia	8355	344.12	
13005	Bacon County	 Georgia	11124	285.94	
13007	Baker County	 Georgia	3483	349.19	
13009	Baldwin County	 Georgia	46378	267.52	
13011	Banks County	 Georgia	18250	233.88	
13013	Barrow County	 Georgia	69136	162.85	
13015	Bartow County	 Georgia	99872	470.56	
13017	Ben Hill County	 Georgia	17612	254.04	
13019	Berrien County	 Georgia	19131	457.81	
13021	Bibb County	 Georgia	155560	255.17	
13023	Bleckley County	 Georgia	13009	219.14	
13025	Brantley County	 Georgia	18279	447.44	
13027	Brooks County	 Georgia	16066	497.81	
13029	Bryan County	 Georgia	30616	454.54	
13031	Bulloch County	 Georgia	70360	688.92	
13033	Burke County	 Georgia	23242	835.06	
13035	Butts County	 Georgia	23671	190.02	
13037	Calhoun County	 Georgia	6581	283.59	
13039	Camden County	 Georgia	50435	782.52	
13043	Candler County	 Georgia	11007	248.85	
13045	Carroll County	 Georgia	110750	503.86	
13047	Catoosa County	 Georgia	64226	162.67	
13049	Charlton County	 Georgia	12954	783.01	
13051	Chatham County	 Georgia	266344	646.32	
13053	Chattahoochee County	 Georgia	11917	251.19	
13055	Chattooga County	 Georgia	25905	313.97	
13057	Cherokee County	 Georgia	215014	434.03	
13059	Clarke County	 Georgia	117762	121.29	
13061	Clay County	 Georgia	3174	217.01	
13063	Clayton County	 Georgia	262066	144.29	
13065	Clinch County	 Georgia	6800	824.24	
13067	Cobb County	 Georgia	691820	344.54	
13069	Coffee County	 Georgia	42566	602.67	
13071	Colquitt County	 Georgia	45531	556.59	
13073	Columbia County	 Georgia	124665	307.8	
13075	Cook County	 Georgia	17073	233.24	
13077	Coweta County	 Georgia	127212	446.01	
13079	Crawford County	 Georgia	12701	326.48	
13081	Crisp County	 Georgia	23460	281.21	
13083	Dade County	 Georgia	16598	174.1	
13085	Dawson County	 Georgia	22246	213.95	
13087	Decatur County	 Georgia	27815	623.2	
13089	DeKalb County	 Georgia	694671	270.94	
13091	Dodge County	 Georgia	21509	503.2	
13093	Dooly County	 Georgia	14528	397.15	
13095	Dougherty County	 Georgia	94591	334.67	
13097	Douglas County	 Georgia	132124	200.27	
13099	Early County	 Georgia	10928	516.31	
13101	Echols County	 Georgia	4024	420.83	
13103	Effingham County	 Georgia	52203	482.89	
13105	Elbert County	 Georgia	20103	374.57	
13107	Emanuel County	 Georgia	22600	690.4	
13109	Evans County	 Georgia	10935	186.9	
13111	Fannin County	 Georgia	23554	391.46	
13113	Fayette County	 Georgia	106525	199.27	
13115	Floyd County	 Georgia	96204	518.5	
13117	Forsyth County	 Georgia	177103	247.38	
13119	Franklin County	 Georgia	22070	266.38	
13121	Fulton County	 Georgia	929535	534.59	
13123	Gilmer County	 Georgia	28232	431.85	
13125	Glascock County	 Georgia	3082	144.46	
13127	Glynn County	 Georgia	79628	583.07	
13129	Gordon County	 Georgia	55192	357.63	
13131	Grady County	 Georgia	25068	460.37	
13133	Greene County	 Georgia	15988	406.28	
13135	Gwinnett County	 Georgia	810624	436.74	
13137	Habersham County	 Georgia	43038	279.21	
13139	Hall County	 Georgia	180831	429.21	
13141	Hancock County	 Georgia	9422	478.8	
13143	Haralson County	 Georgia	28627	283.19	
13145	Harris County	 Georgia	31870	472.97	
13147	Hart County	 Georgia	25277	256.43	
13149	Heard County	 Georgia	11756	301.11	
13151	Henry County	 Georgia	203185	324.49	
13153	Houston County	 Georgia	140699	379.87	
13155	Irwin County	 Georgia	9646	362.75	
13157	Jackson County	 Georgia	60268	343.02	
13159	Jasper County	 Georgia	13786	373.6	
13161	Jeff Davis County	 Georgia	14972	335.46	
13163	Jefferson County	 Georgia	16817	529.6	
13165	Jenkins County	 Georgia	8477	352.48	
13167	Johnson County	 Georgia	9981	306.54	
13169	Jones County	 Georgia	28638	395.41	
13171	Lamar County	 Georgia	18151	185.81	
13173	Lanier County	 Georgia	10066	199.84	
13175	Laurens County	 Georgia	48264	818.56	
13177	Lee County	 Georgia	28449	362.03	
13179	Liberty County	 Georgia	64663	602.58	
13181	Lincoln County	 Georgia	7962	257.31	
13183	Long County	 Georgia	14488	403.53	
13185	Lowndes County	 Georgia	109730	510.66	
13187	Lumpkin County	 Georgia	30040	284.89	
13189	McDuffie County	 Georgia	21762	266.32	
13191	McIntosh County	 Georgia	14119	574.76	
13193	Macon County	 Georgia	14552	405.99	
13195	Madison County	 Georgia	27988	285.6	
13197	Marion County	 Georgia	8615	367.53	
13199	Meriwether County	 Georgia	21966	505.39	
13201	Miller County	 Georgia	6094	283.74	
13205	Mitchell County	 Georgia	23510	513.84	
13207	Monroe County	 Georgia	26376	397.83	
13209	Montgomery County	 Georgia	9054	247.34	
13211	Morgan County	 Georgia	17919	354.62	
13213	Murray County	 Georgia	39635	346.9	
13215	Muscogee County	 Georgia	191278	221.02	
13217	Newton County	 Georgia	100047	279.21	
13219	Oconee County	 Georgia	32814	186.15	
13221	Oglethorpe County	 Georgia	14745	442.2	
13223	Paulding County	 Georgia	141846	315.09	
13225	Peach County	 Georgia	27531	151.47	
13227	Pickens County	 Georgia	29445	232.8	
13229	Pierce County	 Georgia	18631	343.67	
13231	Pike County	 Georgia	17765	219.45	
13233	Polk County	 Georgia	41350	312.16	
13235	Pulaski County	 Georgia	11801	249.87	
13237	Putnam County	 Georgia	21184	360.66	
13239	Quitman County	 Georgia	2542	160.93	
13241	Rabun County	 Georgia	16297	377.01	
13243	Randolph County	 Georgia	7596	430.92	
13245	Richmond County	 Georgia	200337	328.5	
13247	Rockdale County	 Georgia	85008	132.13	
13249	Schley County	 Georgia	4963	167.83	
13251	Screven County	 Georgia	14574	655.66	
13253	Seminole County	 Georgia	8815	256.58	
13255	Spalding County	 Georgia	63979	199.61	
13257	Stephens County	 Georgia	26003	184.24	
13259	Stewart County	 Georgia	5991	463.26	
13261	Sumter County	 Georgia	32425	492.58	
13263	Talbot County	 Georgia	6772	394.77	
13265	Taliaferro County	 Georgia	1674	195.48	
13267	Tattnall County	 Georgia	25023	488.27	
13269	Taylor County	 Georgia	8700	379.65	
13271	Telfair County	 Georgia	16312	444.12	
13273	Terrell County	 Georgia	9365	337.65	
13275	Thomas County	 Georgia	44715	552.13	
13277	Tift County	 Georgia	40430	268.88	
13279	Toombs County	 Georgia	27270	368.67	
13281	Towns County	 Georgia	10491	171.87	
13283	Treutlen County	 Georgia	6851	202.22	
13285	Troup County	 Georgia	67146	445.99	
13287	Turner County	 Georgia	8834	289.87	
13289	Twiggs County	 Georgia	8984	362.92	
13291	Union County	 Georgia	21344	329.19	
13293	Upson County	 Georgia	27061	327.67	
13295	Walker County	 Georgia	68463	446.74	
13297	Walton County	 Georgia	83771	330.07	
13299	Ware County	 Georgia	36099	906.62	
13301	Warren County	 Georgia	5788	286.76	
13303	Washington County	 Georgia	21092	684.43	
13305	Wayne County	 Georgia	30157	648.85	
13307	Webster County	 Georgia	2773	210.27	
13309	Wheeler County	 Georgia	7572	300.16	
13311	White County	 Georgia	27141	242.18	
13313	Whitfield County	 Georgia	102152	290.68	
13315	Wilcox County	 Georgia	9142	383.32	
13317	Wilkes County	 Georgia	10398	474.03	
13319	Wilkinson County	 Georgia	9577	452.03	
13321	Worth County	 Georgia	21746	574.61	
15001	Hawaii County	 Hawaii	185399	5086.97	
15003	Honolulu County	 Hawaii	955215	2126.98	
15005	Kalawao County	 Hawaii	66	52.33	
15007	Kauai County	 Hawaii	67113	1266.45	
15009	Maui County	 Hawaii	154937	2398.87	
16001	Ada County	 Idaho	394961	1060.38	
16003	Adams County	 Idaho	3976	1370.11	
16005	Bannock County	 Idaho	82584	1147.5	
16007	Bear Lake County	 Idaho	5977	1049.49	
16009	Benewah County	 Idaho	9247	784.01	
16011	Bingham County	 Idaho	45312	2120.34	
16013	Blaine County	 Idaho	21323	2661.14	
16015	Boise County	 Idaho	7014	1906.81	
16017	Bonner County	 Idaho	40806	1919.62	
16019	Bonneville County	 Idaho	104177	1900.74	
16021	Boundary County	 Idaho	10857	1278.2	
16023	Butte County	 Idaho	2828	2233.66	
16025	Camas County	 Idaho	1276	1079.06	
16027	Canyon County	 Idaho	189396	603.52	
16029	Caribou County	 Idaho	6872	1798.73	
16031	Cassia County	 Idaho	22813	2580.45	
16033	Clark County	 Idaho	780	1765.28	
16035	Clearwater County	 Idaho	8679	2488.26	
16037	Custer County	 Idaho	4338	4936.92	
16039	Elmore County	 Idaho	26655	3100.69	
16041	Franklin County	 Idaho	12739	668.4	
16043	Fremont County	 Idaho	13123	1895.67	
16045	Gem County	 Idaho	16768	565.77	
16047	Gooding County	 Idaho	15327	733.89	
16049	Idaho County	 Idaho	16215	8502.78	
16051	Jefferson County	 Idaho	25940	1105.62	
16053	Jerome County	 Idaho	22140	601.91	
16055	Kootenai County	 Idaho	139083	1315.77	
16057	Latah County	 Idaho	37365	1076.94	
16059	Lemhi County	 Idaho	7892	4569.68	
16061	Lewis County	 Idaho	3818	479.83	
16063	Lincoln County	 Idaho	5167	1205.92	
16065	Madison County	 Idaho	37311	473.39	
16067	Minidoka County	 Idaho	19909	763.03	
16069	Nez Perce County	 Idaho	39226	856.4	
16071	Oneida County	 Idaho	4236	1201.69	
16073	Owyhee County	 Idaho	11479	7697.11	
16075	Payette County	 Idaho	22614	410.19	
16077	Power County	 Idaho	7717	1442.69	
16079	Shoshone County	 Idaho	12797	2635.6	
16081	Teton County	 Idaho	10007	450.6	
16083	Twin Falls County	 Idaho	77122	1928.57	
16085	Valley County	 Idaho	9793	3733.85	
16087	Washington County	 Idaho	10144	1473.6	
